image_id,distinct_rat
1,3.99
2,3.93
3,3.17
4,3.18
5,3.32
6,3.17
7,4.81
8,1.95
9,2.49
10,3.15
11,3.35
12,3.75
13,3.54
14,4.47
15,3.98
16,3.57
17,1.92
18,1.84
19,2.94
20,2.47
21,2.55
22,2.08
23,3.42
24,2.31
25,1.89
26,2.76
27,3.11
28,4.08
29,2.68
30,4.0
31,4.03
32,2.15
33,2.97
34,4.9
35,3.14
36,2.98
37,3.08
38,3.72
39,4.63
40,4.94
41,4.38
42,2.84
43,3.36
44,3.55
45,4.58
46,4.83
47,3.05
48,3.95
49,3.61
50,2.73
51,3.48
52,4.1
53,3.6
54,3.26
55,4.29
56,3.02
57,3.48
58,3.11
59,1.99
60,2.6
61,3.32
62,2.95
63,3.37
64,2.52
65,5.23
66,3.29
67,3.6
68,3.6
69,4.49
70,3.73
71,3.89
72,3.95
73,5.38
74,4.34
75,4.03
76,3.86
77,4.56
78,4.29
79,4.22
80,4.06
81,4.08
82,6.06
83,4.51
84,5.67
85,7.32
86,8.01
87,7.28
88,6.82
89,5.85
90,5.73
91,5.22
92,5.7
93,4.85
94,5.17
95,6.67
96,5.44
97,5.93
98,6.37
99,7.24
100,5.03
101,6.22
102,6.01
103,6.79
104,7.03
105,6.37
106,7.66
107,7.11
108,5.15
109,5.15
110,4.79
111,7.02
112,7.03
113,2.31
114,5.18
115,5.71
116,6.39
117,3.89
118,5.78
119,3.46
120,4.77
121,5.71
122,4.64
123,3.59
124,5.16
125,7.28
126,3.64
127,6.28
128,4.48
129,3.25
130,4.41
131,3.41
132,3.48
133,3.37
134,4.16
135,3.58
136,3.1
137,5.5
138,4.58
139,1.74
140,2.97
141,3.12
142,3.22
143,4.18
144,5.37
145,3.36
146,3.26
147,4.55
148,3.73
149,3.02
150,5.0
151,2.73
152,1.38
153,3.52
154,2.88
155,1.73
156,3.68
157,4.83
158,2.59
159,4.58
160,2.19
161,5.2
162,2.7
163,6.58
164,2.89
165,3.59
166,2.8
167,3.78
168,4.89
169,3.83
170,3.83
171,5.28
172,5.62
173,3.1
174,3.65
175,2.7
176,2.97
177,4.23
178,4.43
179,5.43
180,6.25
181,4.71
182,3.36
183,4.27
184,4.77
185,4.76
186,5.19
187,4.38
188,5.69
189,4.81
190,4.36
191,4.62
192,5.66
193,4.54
194,3.75
195,3.63
196,3.89
197,2.97
198,2.65
199,3.39
200,3.69
201,3.85
202,3.09
203,3.66
204,4.52
205,3.26
206,3.41
207,3.11
208,3.64
209,3.04
210,2.0
211,2.55
212,2.22
213,3.12
214,2.66
215,2.97
216,2.9
217,2.7
218,2.88
219,2.59
220,2.62
221,3.2
222,2.3
223,1.84
224,2.84
225,4.1
226,3.2
227,2.67
228,3.15
229,4.1
230,3.4
231,3.77
232,4.35
233,4.25
234,4.13
235,3.81
236,3.95
237,3.8
238,3.31
239,6.35
240,2.57
241,4.9
242,3.98
243,3.7
244,5.07
245,4.03
246,4.63
247,4.38
248,2.79
249,3.84
250,3.3
251,4.36
252,4.03
253,5.01
254,4.62
255,5.37
256,3.86
257,5.54
258,2.89
259,2.5
260,4.37
261,2.14
262,3.03
263,2.59
264,4.33
265,2.96
266,2.6
267,3.56
268,3.83
269,2.8
270,4.08
271,3.05
272,3.06
273,2.3
274,2.52
275,3.6
276,3.06
277,2.23
278,3.63
279,1.97
280,2.15
281,2.62
282,3.75
283,2.89
284,1.92
285,2.27
286,3.3
287,2.19
288,3.41
289,2.56
290,3.37
291,4.03
292,3.63
293,3.66
294,4.98
295,4.2
296,6.46
297,3.31
298,3.42
299,6.22
300,4.27
301,3.37
302,4.12
303,3.26
304,4.97
305,2.89
306,2.88
307,1.87
308,2.2
309,2.63
310,2.86
311,3.48
312,1.9
313,3.6
314,1.94
315,2.75
316,3.25
317,2.45
318,2.58
319,2.13
320,2.55
321,4.17
322,4.82
323,4.2
324,4.93
325,3.63
326,3.4
327,3.0
328,3.92
329,4.68
330,3.47
331,3.71
332,3.5
333,5.06
334,4.51
335,3.21
336,4.3
337,7.35
338,5.94
339,5.07
340,5.13
341,6.25
342,5.23
343,6.19
344,7.14
345,6.7
346,5.0
347,6.7
348,5.03
349,5.56
350,4.6
